case_id,machine_id,failure_type,root_cause,evidence,corrective_action,resolution_time,similarity_features
CASE-011,CNC-05,Dimensional Inspection Failure,Tool Offset Error,Machine CNC-05: Incorrect G43 H-code tool length offset entered manually by operator,Implemented wireless Renishaw tool probe automated length measurement.,0.9,"{""vib_ratio"": 1.07, ""power_pct_inc"": 3.7, ""cycle_ratio"": 0.19, ""dim_dev"": 0.469, ""temp_c"": 36.4}"
CASE-012,CNC-04,Quality Non-Conformance,Coolant Temperature Variation,Machine CNC-04: Thermal expansion of casting workpiece from unchilled coolant,Cleaned heat exchanger coils and refilled chiller refrigerant R134a.,3.2,"{""vib_ratio"": 1.39, ""power_pct_inc"": 1.5, ""cycle_ratio"": 0.47, ""dim_dev"": 0.322, ""temp_c"": 48.0}"
CASE-013,CNC-03,Dimensional Inspection Failure,Tool Wear,Machine CNC-03: Flank wear and edge chipping causing progressive part enlargement,"Replaced worn tool inserts, verified tool setter calibration.",1.9,"{""vib_ratio"": 2.28, ""power_pct_inc"": 19.9, ""cycle_ratio"": 1.17, ""dim_dev"": 0.367, ""temp_c"": 40.6}"
CASE-014,CNC-06,Quality Non-Conformance,Incorrect Feed Rate,Machine CNC-06: Feed rate mismatch causing excessive cutting load and tool deflection,Standardized CNC cutting speed in Mastercam CAM post-processor.,1.1,"{""vib_ratio"": 1.9, ""power_pct_inc"": 15.0, ""cycle_ratio"": 0.5, ""dim_dev"": 0.255, ""temp_c"": 40.6}"
CASE-015,CNC-05,Dimensional Inspection Failure,Machine Calibration Drift,Machine CNC-05: Z-axis ball screw thermal backlash resulting in depth-of-cut error,Laser interferometer pitch error compensation executed on Z-axis.,5.2,"{""vib_ratio"": 1.42, ""power_pct_inc"": 3.5, ""cycle_ratio"": 0.84, ""dim_dev"": 0.351, ""temp_c"": 40.9}"
CASE-016,CNC-05,Dimensional Inspection Failure,Machine Calibration Drift,Machine CNC-05: Z-axis ball screw thermal backlash resulting in depth-of-cut error,Laser interferometer pitch error compensation executed on Z-axis.,5.6,"{""vib_ratio"": 1.19, ""power_pct_inc"": 2.4, ""cycle_ratio"": 0.79, ""dim_dev"": 0.291, ""temp_c"": 40.7}"
CASE-017,CNC-04,Dimensional Inspection Failure,Tool Offset Error,Machine CNC-04: Incorrect G43 H-code tool length offset entered manually by operator,Implemented wireless Renishaw tool probe automated length measurement.,0.6,"{""vib_ratio"": 0.97, ""power_pct_inc"": 2.3, ""cycle_ratio"": 0.19, ""dim_dev"": 0.485, ""temp_c"": 37.3}"
CASE-018,CNC-04,Quality Non-Conformance,Excessive Vibration,Machine CNC-04: Spindle bearing resonant chatter leading to scalloped surface profile,Dynamic re-balancing of spindle and bearing replacement.,6.3,"{""vib_ratio"": 3.46, ""power_pct_inc"": 6.3, ""cycle_ratio"": 0.72, ""dim_dev"": 0.166, ""temp_c"": 37.4}"
CASE-019,CNC-03,Dimensional Inspection Failure,Machine Calibration Drift,Machine CNC-03: Z-axis ball screw thermal backlash resulting in depth-of-cut error,Laser interferometer pitch error compensation executed on Z-axis.,5.3,"{""vib_ratio"": 1.27, ""power_pct_inc"": 4.6, ""cycle_ratio"": 0.83, ""dim_dev"": 0.332, ""temp_c"": 40.2}"
CASE-020,CNC-02,Dimensional Inspection Failure,Tool Wear,Machine CNC-02: Flank wear and edge chipping causing progressive part enlargement,"Replaced worn tool inserts, verified tool setter calibration.",2.0,"{""vib_ratio"": 2.27, ""power_pct_inc"": 19.4, ""cycle_ratio"": 1.12, ""dim_dev"": 0.312, ""temp_c"": 41.5}"
CASE-021,CNC-05,Quality Non-Conformance,Coolant Temperature Variation,Machine CNC-05: Thermal expansion of casting workpiece from unchilled coolant,Cleaned heat exchanger coils and refilled chiller refrigerant R134a.,3.3,"{""vib_ratio"": 1.18, ""power_pct_inc"": 3.2, ""cycle_ratio"": 0.49, ""dim_dev"": 0.325, ""temp_c"": 47.3}"
CASE-022,CNC-03,Dimensional Inspection Failure,Tool Wear,Machine CNC-03: Flank wear and edge chipping causing progressive part enlargement,"Replaced worn tool inserts, verified tool setter calibration.",1.4,"{""vib_ratio"": 2.27, ""power_pct_inc"": 19.0, ""cycle_ratio"": 1.17, ""dim_dev"": 0.331, ""temp_c"": 42.2}"
CASE-023,CNC-04,Quality Non-Conformance,Excessive Vibration,Machine CNC-04: Spindle bearing resonant chatter leading to scalloped surface profile,Dynamic re-balancing of spindle and bearing replacement.,6.2,"{""vib_ratio"": 3.47, ""power_pct_inc"": 5.4, ""cycle_ratio"": 0.72, ""dim_dev"": 0.188, ""temp_c"": 38.5}"
CASE-024,CNC-06,Dimensional Inspection Failure,Tool Offset Error,Machine CNC-06: Incorrect G43 H-code tool length offset entered manually by operator,Implemented wireless Renishaw tool probe automated length measurement.,0.5,"{""vib_ratio"": 0.87, ""power_pct_inc"": 1.5, ""cycle_ratio"": 0.2, ""dim_dev"": 0.473, ""temp_c"": 36.2}"
CASE-025,CNC-05,Dimensional Inspection Failure,Tool Wear,Machine CNC-05: Flank wear and edge chipping causing progressive part enlargement,"Replaced worn tool inserts, verified tool setter calibration.",1.3,"{""vib_ratio"": 2.58, ""power_pct_inc"": 16.9, ""cycle_ratio"": 1.18, ""dim_dev"": 0.326, ""temp_c"": 41.1}"
CASE-026,CNC-08,Quality Non-Conformance,Coolant Temperature Variation,Machine CNC-08: Thermal expansion of casting workpiece from unchilled coolant,Cleaned heat exchanger coils and refilled chiller refrigerant R134a.,3.2,"{""vib_ratio"": 1.28, ""power_pct_inc"": 3.0, ""cycle_ratio"": 0.49, ""dim_dev"": 0.284, ""temp_c"": 48.8}"
CASE-027,CNC-07,Quality Non-Conformance,Maintenance Overdue,Machine CNC-07: Way lube pump pressure drop caused stick-slip table motion,Flushed way lube filter and replaced pump pressure regulator valve.,2.7,"{""vib_ratio"": 2.19, ""power_pct_inc"": 7.6, ""cycle_ratio"": 0.99, ""dim_dev"": 0.216, ""temp_c"": 43.1}"
CASE-028,CNC-01,Dimensional Inspection Failure,Tool Offset Error,Machine CNC-01: Incorrect G43 H-code tool length offset entered manually by operator,Implemented wireless Renishaw tool probe automated length measurement.,0.6,"{""vib_ratio"": 1.01, ""power_pct_inc"": 1.8, ""cycle_ratio"": 0.23, ""dim_dev"": 0.463, ""temp_c"": 38.5}"
CASE-029,CNC-01,Quality Non-Conformance,Coolant Temperature Variation,Machine CNC-01: Thermal expansion of casting workpiece from unchilled coolant,Cleaned heat exchanger coils and refilled chiller refrigerant R134a.,3.0,"{""vib_ratio"": 1.22, ""power_pct_inc"": 1.6, ""cycle_ratio"": 0.46, ""dim_dev"": 0.254, ""temp_c"": 47.4}"
CASE-030,CNC-05,Quality Non-Conformance,Incorrect Feed Rate,Machine CNC-05: Feed rate mismatch causing excessive cutting load and tool deflection,Standardized CNC cutting speed in Mastercam CAM post-processor.,1.0,"{""vib_ratio"": 1.88, ""power_pct_inc"": 13.7, ""cycle_ratio"": 0.56, ""dim_dev"": 0.204, ""temp_c"": 41.1}"
CASE-031,CNC-08,Quality Non-Conformance,Maintenance Overdue,Machine CNC-08: Way lube pump pressure drop caused stick-slip table motion,Flushed way lube filter and replaced pump pressure regulator valve.,2.6,"{""vib_ratio"": 1.94, ""power_pct_inc"": 8.0, ""cycle_ratio"": 0.92, ""dim_dev"": 0.217, ""temp_c"": 44.2}"
CASE-032,CNC-07,Quality Non-Conformance,Coolant Temperature Variation,Machine CNC-07: Thermal expansion of casting workpiece from unchilled coolant,Cleaned heat exchanger coils and refilled chiller refrigerant R134a.,3.4,"{""vib_ratio"": 1.13, ""power_pct_inc"": -0.4, ""cycle_ratio"": 0.45, ""dim_dev"": 0.322, ""temp_c"": 49.2}"
CASE-033,CNC-05,Dimensional Inspection Failure,Tool Wear,Machine CNC-05: Flank wear and edge chipping causing progressive part enlargement,"Replaced worn tool inserts, verified tool setter calibration.",1.3,"{""vib_ratio"": 2.33, ""power_pct_inc"": 18.6, ""cycle_ratio"": 1.18, ""dim_dev"": 0.323, ""temp_c"": 42.7}"
CASE-034,CNC-08,Dimensional Inspection Failure,Tool Offset Error,Machine CNC-08: Incorrect G43 H-code tool length offset entered manually by operator,Implemented wireless Renishaw tool probe automated length measurement.,0.7,"{""vib_ratio"": 1.05, ""power_pct_inc"": 0.3, ""cycle_ratio"": 0.22, ""dim_dev"": 0.518, ""temp_c"": 38.4}"
CASE-035,CNC-07,Quality Non-Conformance,Excessive Vibration,Machine CNC-07: Spindle bearing resonant chatter leading to scalloped surface profile,Dynamic re-balancing of spindle and bearing replacement.,6.4,"{""vib_ratio"": 3.42, ""power_pct_inc"": 4.2, ""cycle_ratio"": 0.67, ""dim_dev"": 0.177, ""temp_c"": 39.6}"
CASE-036,CNC-03,Quality Non-Conformance,Excessive Vibration,Machine CNC-03: Spindle bearing resonant chatter leading to scalloped surface profile,Dynamic re-balancing of spindle and bearing replacement.,6.1,"{""vib_ratio"": 3.27, ""power_pct_inc"": 6.8, ""cycle_ratio"": 0.69, ""dim_dev"": 0.175, ""temp_c"": 39.3}"
CASE-037,CNC-03,Dimensional Inspection Failure,Tool Offset Error,Machine CNC-03: Incorrect G43 H-code tool length offset entered manually by operator,Implemented wireless Renishaw tool probe automated length measurement.,0.6,"{""vib_ratio"": 0.85, ""power_pct_inc"": 0.5, ""cycle_ratio"": 0.17, ""dim_dev"": 0.51, ""temp_c"": 36.3}"
CASE-038,CNC-08,Quality Non-Conformance,Maintenance Overdue,Machine CNC-08: Way lube pump pressure drop caused stick-slip table motion,Flushed way lube filter and replaced pump pressure regulator valve.,2.6,"{""vib_ratio"": 2.12, ""power_pct_inc"": 6.0, ""cycle_ratio"": 0.99, ""dim_dev"": 0.189, ""temp_c"": 43.3}"
CASE-039,CNC-08,Quality Non-Conformance,Coolant Temperature Variation,Machine CNC-08: Thermal expansion of casting workpiece from unchilled coolant,Cleaned heat exchanger coils and refilled chiller refrigerant R134a.,3.1,"{""vib_ratio"": 1.03, ""power_pct_inc"": 1.9, ""cycle_ratio"": 0.42, ""dim_dev"": 0.294, ""temp_c"": 48.4}"
CASE-040,CNC-04,Quality Non-Conformance,Maintenance Overdue,Machine CNC-04: Way lube pump pressure drop caused stick-slip table motion,Flushed way lube filter and replaced pump pressure regulator valve.,2.7,"{""vib_ratio"": 1.92, ""power_pct_inc"": 6.6, ""cycle_ratio"": 0.97, ""dim_dev"": 0.173, ""temp_c"": 44.1}"
CASE-041,CNC-05,Quality Non-Conformance,Maintenance Overdue,Machine CNC-05: Way lube pump pressure drop caused stick-slip table motion,Flushed way lube filter and replaced pump pressure regulator valve.,2.4,"{""vib_ratio"": 2.03, ""power_pct_inc"": 6.4, ""cycle_ratio"": 0.91, ""dim_dev"": 0.249, ""temp_c"": 42.0}"
CASE-042,CNC-03,Dimensional Inspection Failure,Tool Offset Error,Machine CNC-03: Incorrect G43 H-code tool length offset entered manually by operator,Implemented wireless Renishaw tool probe automated length measurement.,0.5,"{""vib_ratio"": 1.19, ""power_pct_inc"": 3.0, ""cycle_ratio"": 0.19, ""dim_dev"": 0.463, ""temp_c"": 37.8}"
CASE-043,CNC-02,Quality Non-Conformance,Coolant Temperature Variation,Machine CNC-02: Thermal expansion of casting workpiece from unchilled coolant,Cleaned heat exchanger coils and refilled chiller refrigerant R134a.,3.4,"{""vib_ratio"": 1.3, ""power_pct_inc"": 2.9, ""cycle_ratio"": 0.41, ""dim_dev"": 0.288, ""temp_c"": 46.9}"
CASE-044,CNC-07,Quality Non-Conformance,Incorrect Feed Rate,Machine CNC-07: Feed rate mismatch causing excessive cutting load and tool deflection,Standardized CNC cutting speed in Mastercam CAM post-processor.,1.4,"{""vib_ratio"": 1.91, ""power_pct_inc"": 14.8, ""cycle_ratio"": 0.56, ""dim_dev"": 0.209, ""temp_c"": 41.7}"
CASE-045,CNC-08,Dimensional Inspection Failure,Tool Wear,Machine CNC-08: Flank wear and edge chipping causing progressive part enlargement,"Replaced worn tool inserts, verified tool setter calibration.",1.9,"{""vib_ratio"": 2.49, ""power_pct_inc"": 18.4, ""cycle_ratio"": 1.19, ""dim_dev"": 0.367, ""temp_c"": 41.8}"
CASE-046,CNC-06,Quality Non-Conformance,Incorrect Feed Rate,Machine CNC-06: Feed rate mismatch causing excessive cutting load and tool deflection,Standardized CNC cutting speed in Mastercam CAM post-processor.,1.5,"{""vib_ratio"": 2.07, ""power_pct_inc"": 14.5, ""cycle_ratio"": 0.55, ""dim_dev"": 0.258, ""temp_c"": 41.0}"
CASE-047,CNC-04,Dimensional Inspection Failure,Machine Calibration Drift,Machine CNC-04: Z-axis ball screw thermal backlash resulting in depth-of-cut error,Laser interferometer pitch error compensation executed on Z-axis.,5.3,"{""vib_ratio"": 1.38, ""power_pct_inc"": 4.9, ""cycle_ratio"": 0.75, ""dim_dev"": 0.282, ""temp_c"": 40.4}"
CASE-048,CNC-04,Quality Non-Conformance,Maintenance Overdue,Machine CNC-04: Way lube pump pressure drop caused stick-slip table motion,Flushed way lube filter and replaced pump pressure regulator valve.,2.7,"{""vib_ratio"": 2.22, ""power_pct_inc"": 10.0, ""cycle_ratio"": 0.94, ""dim_dev"": 0.197, ""temp_c"": 43.2}"
CASE-049,CNC-04,Dimensional Inspection Failure,Tool Wear,Machine CNC-04: Flank wear and edge chipping causing progressive part enlargement,"Replaced worn tool inserts, verified tool setter calibration.",1.8,"{""vib_ratio"": 2.48, ""power_pct_inc"": 17.0, ""cycle_ratio"": 1.12, ""dim_dev"": 0.334, ""temp_c"": 42.1}"
CASE-050,CNC-06,Dimensional Inspection Failure,Tool Wear,Machine CNC-06: Flank wear and edge chipping causing progressive part enlargement,"Replaced worn tool inserts, verified tool setter calibration.",1.5,"{""vib_ratio"": 2.34, ""power_pct_inc"": 18.9, ""cycle_ratio"": 1.17, ""dim_dev"": 0.312, ""temp_c"": 41.0}"
CASE-051,CNC-08,Quality Non-Conformance,Incorrect Feed Rate,Machine CNC-08: Feed rate mismatch causing excessive cutting load and tool deflection,Standardized CNC cutting speed in Mastercam CAM post-processor.,1.6,"{""vib_ratio"": 2.07, ""power_pct_inc"": 15.2, ""cycle_ratio"": 0.56, ""dim_dev"": 0.239, ""temp_c"": 41.4}"
CASE-052,CNC-06,Dimensional Inspection Failure,Machine Calibration Drift,Machine CNC-06: Z-axis ball screw thermal backlash resulting in depth-of-cut error,Laser interferometer pitch error compensation executed on Z-axis.,5.7,"{""vib_ratio"": 1.28, ""power_pct_inc"": 4.3, ""cycle_ratio"": 0.84, ""dim_dev"": 0.284, ""temp_c"": 40.1}"
CASE-053,CNC-06,Dimensional Inspection Failure,Tool Offset Error,Machine CNC-06: Incorrect G43 H-code tool length offset entered manually by operator,Implemented wireless Renishaw tool probe automated length measurement.,0.8,"{""vib_ratio"": 1.02, ""power_pct_inc"": 0.1, ""cycle_ratio"": 0.21, ""dim_dev"": 0.487, ""temp_c"": 38.2}"
CASE-054,CNC-03,Dimensional Inspection Failure,Tool Wear,Machine CNC-03: Flank wear and edge chipping causing progressive part enlargement,"Replaced worn tool inserts, verified tool setter calibration.",1.7,"{""vib_ratio"": 2.31, ""power_pct_inc"": 16.1, ""cycle_ratio"": 1.21, ""dim_dev"": 0.36, ""temp_c"": 43.0}"
CASE-055,CNC-03,Quality Non-Conformance,Coolant Temperature Variation,Machine CNC-03: Thermal expansion of casting workpiece from unchilled coolant,Cleaned heat exchanger coils and refilled chiller refrigerant R134a.,2.7,"{""vib_ratio"": 1.24, ""power_pct_inc"": 3.0, ""cycle_ratio"": 0.48, ""dim_dev"": 0.306, ""temp_c"": 47.4}"
CASE-056,CNC-02,Quality Non-Conformance,Coolant Temperature Variation,Machine CNC-02: Thermal expansion of casting workpiece from unchilled coolant,Cleaned heat exchanger coils and refilled chiller refrigerant R134a.,2.9,"{""vib_ratio"": 1.2, ""power_pct_inc"": 0.5, ""cycle_ratio"": 0.45, ""dim_dev"": 0.326, ""temp_c"": 47.1}"
CASE-057,CNC-06,Dimensional Inspection Failure,Tool Wear,Machine CNC-06: Flank wear and edge chipping causing progressive part enlargement,"Replaced worn tool inserts, verified tool setter calibration.",1.6,"{""vib_ratio"": 2.51, ""power_pct_inc"": 19.1, ""cycle_ratio"": 1.2, ""dim_dev"": 0.346, ""temp_c"": 40.6}"
CASE-058,CNC-03,Dimensional Inspection Failure,Machine Calibration Drift,Machine CNC-03: Z-axis ball screw thermal backlash resulting in depth-of-cut error,Laser interferometer pitch error compensation executed on Z-axis.,5.3,"{""vib_ratio"": 1.18, ""power_pct_inc"": 4.7, ""cycle_ratio"": 0.82, ""dim_dev"": 0.322, ""temp_c"": 40.8}"
CASE-059,CNC-02,Quality Non-Conformance,Maintenance Overdue,Machine CNC-02: Way lube pump pressure drop caused stick-slip table motion,Flushed way lube filter and replaced pump pressure regulator valve.,2.6,"{""vib_ratio"": 2.23, ""power_pct_inc"": 9.8, ""cycle_ratio"": 0.97, ""dim_dev"": 0.181, ""temp_c"": 43.7}"
CASE-060,CNC-02,Dimensional Inspection Failure,Tool Offset Error,Machine CNC-02: Incorrect G43 H-code tool length offset entered manually by operator,Implemented wireless Renishaw tool probe automated length measurement.,0.6,"{""vib_ratio"": 0.8, ""power_pct_inc"": 3.7, ""cycle_ratio"": 0.22, ""dim_dev"": 0.508, ""temp_c"": 35.8}"
CASE-061,CNC-02,Dimensional Inspection Failure,Tool Wear,Machine CNC-02: Flank wear and edge chipping causing progressive part enlargement,"Replaced worn tool inserts, verified tool setter calibration.",1.9,"{""vib_ratio"": 2.41, ""power_pct_inc"": 18.6, ""cycle_ratio"": 1.14, ""dim_dev"": 0.356, ""temp_c"": 41.4}"
CASE-062,CNC-04,Quality Non-Conformance,Incorrect Feed Rate,Machine CNC-04: Feed rate mismatch causing excessive cutting load and tool deflection,Standardized CNC cutting speed in Mastercam CAM post-processor.,1.0,"{""vib_ratio"": 1.78, ""power_pct_inc"": 13.1, ""cycle_ratio"": 0.53, ""dim_dev"": 0.235, ""temp_c"": 39.9}"
CASE-063,CNC-02,Quality Non-Conformance,Incorrect Feed Rate,Machine CNC-02: Feed rate mismatch causing excessive cutting load and tool deflection,Standardized CNC cutting speed in Mastercam CAM post-processor.,1.2,"{""vib_ratio"": 1.71, ""power_pct_inc"": 14.5, ""cycle_ratio"": 0.55, ""dim_dev"": 0.217, ""temp_c"": 40.6}"
CASE-064,CNC-05,Quality Non-Conformance,Excessive Vibration,Machine CNC-05: Spindle bearing resonant chatter leading to scalloped surface profile,Dynamic re-balancing of spindle and bearing replacement.,5.7,"{""vib_ratio"": 3.43, ""power_pct_inc"": 4.7, ""cycle_ratio"": 0.68, ""dim_dev"": 0.221, ""temp_c"": 38.6}"
